question,competence,component,difficulty,answer_test,Details
1.1,Indagation,Mechanics,high,C,"Graficar datos consignados en una tabla de datos."
1.2,Indagation,Mechanics,superior,A,"Identificar expresiones matemáticas que modelen el comportamiento de un fenómeno natural."
1.3,Indagation,Electromagnetism,low,A,"Identificar conclusiones posibles de unos resultados específicos."
2.1,Explanation of fenomena,Electromagnetism,high,D,"Expresar la interacción existente entre cuerpos que tienen cargas iguales."
2.2,Indagation,Thermodynamics,high,A,"Identificar el instrumento pertinente según el tipo de variable a registrar."
2.3,Explanation of fenomena,Waves,basic,C,"Interpretar a partir de gráficas y esquemas los conceptos fundamentales de un sistema que vibra u oscila."
3.1,Explanation of fenomena,Electromagnetism,high,C,"Explicar las características de la carga, conductores, aislantes y carga inducida."
3.2,Indagation,Mechanics,basic,C,"Anotar los resultados de un experimento o investigación mediante esquemas, gráficos o tablas."
3.3,Indagation,Mechanics,high,B,"Identificar posibles fuentes para buscar información."
4.1,Indagation,Waves,basic,B,"Obtener conclusiones a partir de información reportada en gráficos."
4.2,Indagation,Thermodynamics,high,A,"Identificar expresiones matemáticas que describan un fenómeno natural."
4.3,Comprehesive use of knowledge,Waves,high,A,"Identificar las diferencias o similitudes entre frecuencia y período, amplitud y elongación, etc."
5.1,Explanation of fenomena,Mechanics,basic,C,"Explicar las características de un movimiento rectilíneo uniforme."
5.2,Comprehesive use of knowledge,Mechanics,basic,B,"Identificar gráficamente las características de posición y velocidad en un movimiento rectilíneo uniforme."
5.3,Explanation of fenomena,Thermodynamics,basic,A,"Explicar las relaciones existentes entre la energía interna, el trabajo y el calor en un sistema termodinámico."
5.4,Comprehesive use of knowledge,Thermodynamics,basic,C,"	Distinguir diversos instrumentos que permiten medir la temperatura de un objeto."
